Program,Category,Commission,Cookie Duration,Recurring,NZ Access,Link,Notes
HeadshotPro,AI Headshots,30%,?,Yes,Yes,https://www.headshotpro.com/,30% commission on all referrals
Copy.ai,AI Writing,45% first year,60 days,Yes (first year),Yes,http://copy.ai/,45% of first year's subscription payments. PROGRAM NOT PUBLICLY ACCESSIBLE (as of Feb 2026)
Canva,Graphic Design,Up to $36 one-time,?,No,Yes,https://www.canva.com/help/canva-affiliate-marketing-program/,One-time commission per referral
Notion,Productivity,50% recurring for 12 months,?,Yes,Yes,https://www.notion.com/affiliates,50% of first year's revenue. PROGRAM CLOSED TO NEW AFFILIATES (as of Feb 2026)
ClickUp,Project Management,20%,30 days,Yes,Yes,https://clickup.com/partners/affiliates,20% commission, 30-day cookie
Jasper,AI Writing,25-30% recurring for 1 year,?,Yes,Yes,https://www.jasper.ai/legal/affiliates,25-30% commission for 1 year
Anyword,AI Copywriting,45% recurring,?,Yes,Yes,https://anyword.firstpromoter.com/,45% recurring commission (signup via FirstPromoter)
Pictory,AI Video,Up to 50% recurring,?,Yes,Yes,https://partners.pictory.ai/signup,Up to 50% recurring commission (signup via partners.pictory.ai). NOTE: May require 10k+ audience for Ambassador tier; Marketing Partner tier available.
Grammarly,Writing Assistant,Up to 30% or $20 per premium,90 days,?,Yes,https://www.grammarly.com/affiliates,Up to 30% commissions
Loom,Screen Recording,15-20% recurring first year,90 days,Yes,Yes,https://www.loom.com/,15-20% recurring commission first year
Calendly,Scheduling,15% recurring,?,Yes,Yes,https://calendly.com/partners,15% recurring commission
Shopify,E-commerce,Up to 30%,30 days,Yes,Yes,https://www.shopify.com/affiliates,High commissions for e-commerce
Bluehost,Web Hosting,70%,30 days,Yes,Yes,https://www.bluehost.com/affiliates,High one-time commission
Fiverr,Freelance Marketplace,25-100% first order,12 months,Yes,Yes,https://www.fiverr.com/affiliate-program,Recurring revenue share
Kraken,Cryptocurrency,Revenue share from trading fees,?,Yes,?,https://www.kraken.com/affiliate-program,Commission based on referred users trading fees
CXL,Marketing Education,30-50%,30 days,Yes,Yes,https://cxl.com/affiliate-program,High commissions for marketers
PartnerStack,SaaS Affiliate Network,?,?,?,?,https://www.partnerstack.com/,Network for SaaS affiliate programs
ConvertKit,Email Marketing,30% recurring for 2 years then 10-20% lifetime,90 days,Yes,Yes,https://convertkit.com/affiliate,High recurring commissions for email marketing tool
HubSpot,CRM/Marketing,30% recurring for 1 year,?,Yes,Yes,https://www.hubspot.com/partners/affiliates,30% recurring commission up to 1 year
Taskade,Productivity,50% lifetime recurring,?,Yes,Yes,https://www.taskade.com/?via=k1b,50% lifetime recurring commission (Vianni's link via=k1b)
AI Studios,AI Video/Creation,50% first payment,60 days,No,Yes,https://www.aistudios.com/affiliate,50% commission on first payment, 60-day cookie
BasedLabs AI,AI Video/Image,40% lifetime recurring,?,Yes,Yes,http://basedlabs.ai/,40% lifetime recurring commission
Mixo,AI Website Builder,50% commission,90 days,Yes,Yes,https://www.mixo.io/,50% commission, 90-day cookie
Monday.com,Project Management,15-25% first year,?,Yes,Yes,https://partners.monday.com/,15-25% commission first year
