keyword,ticker,company,notes
Stanley drinkware,SWK,Stanley Black & Decker,Drinkware trend
Birkin bag,RMS,Hermès International,Luxury handbag
Oura ring,PRIVATE,Oura (private),Health tracker
PlayStation,SONY,Sony Group,Gaming console
iPhone,AAPL,Apple Inc.,Smartphone
Yeti cooler,YETI,Yeti Holdings,Outdoor drinkware
Lululemon,LULU,Lululemon Athletica,Athleisure
Crocs,CROX,Crocs Inc.,Comfort footwear
Peloton,PTON,Peloton Interactive,Exercise equipment
Tesla,TSLA,Tesla Inc.,Electric vehicles
Nvidia,NVDA,Nvidia Corp.,AI chips
ChatGPT,MSFT,Microsoft (OpenAI investment),AI assistant
OpenAI,MSFT,Microsoft (investment),AI research
AirPods,AAPL,Apple Inc.,Wireless earbuds
Kindle,AMZN,Amazon.com,E-reader
Nespresso,NSRGY,Nestlé (brand),Coffee capsules
Dyson vacuum,PRIVATE,Dyson (private),Vacuum/air treatment
Rolex watch,PRIVATE,Rolex (private),Luxury watches
Louis Vuitton,MC,Moët Hennessy Louis Vuitton,Luxury fashion
Gucci,PRIVATE,Gucci (private),Luxury fashion
Stanley Black & Decker,SWK,Stanley Black & Decker,Parent company
Hermès,RMS,Hermès International,Luxury goods
Sony,SONY,Sony Group,Electronics
Apple,AAPL,Apple Inc.,Technology
Yeti,YETI,Yeti Holdings,Outdoor
Lululemon,LULU,Lululemon Athletica,Apparel
Crocs,CROX,Crocs Inc.,Footwear
Peloton,PTON,Peloton Interactive,Fitness
Tesla,TSLA,Tesla Inc.,EV
Nvidia,NVDA,Nvidia Corp.,Semiconductors
Microsoft,MSFT,Microsoft Corp.,Software
Amazon,AMZN,Amazon.com,E-commerce
Nestle,NSRGY,Nestlé,Food & beverage
